OLD,OLD,OLD,OLD,OLD,OLD,OLD,NEW,NEW,NEW,NEW,NEW,NEW,NEW,NEW
OLD,OLD,NEW,NEW,OLD,NEW,NEW,NEW,NEW,NEW,NEW,OLD,NEW,NEW,NEW
NEW,NEW,NEW,NEW,NEW,NEW,NEW,OLD,NEW,NEW,NEW,NEW,NEW,OLD,NEW
NEW,OLD,NEW,NEW,OLD,NEW,NEW,NEW,NEW,OLD,OLD,NEW,OLD,NEW,NEW
OLD,NEW,OLD,NEW,OLD,NEW,NEW,NEW,OLD,OLD,OLD,OLD,NEW,OLD,NEW
OLD,OLD,NEW,OLD,NEW,NEW,OLD,OLD,OLD,NEW,NEW,NEW,OLD,OLD,OLD
NEW,NEW,NEW,OLD,NEW,NEW,NEW,NEW,OLD,NEW,NEW,NEW,NEW,NEW,NEW
NEW,NEW,OLD,NEW,NEW,NEW,NEW,NEW,NEW,NEW,NEW,NEW,NEW,NEW,NEW
NEW,NEW,NEW,NEW,OLD,OLD,NEW,NEW,NEW,NEW,NEW,OLD,NEW,NEW,NEW
NEW,NEW,NEW,NEW,NEW,NEW,OLD,NEW,NEW,NEW,OLD,OLD,NEW,NEW,NEW
NEW,OLD,NEW,NEW,NEW,NEW,NEW,NEW,NEW,OLD,OLD,OLD,OLD,OLD,NEW
